AccountName,DeviceName,FileName,InitiatingProcessAccountName,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessSHA256,ProcessCommandLine,ProcessIntegrityLevel,ProcessTokenElevation,SHA256,Timestamp,anomaly_score
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.A36brR/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m LVM2_member xfs xfs,dracut-install,f831016722ec15c19b9b43e44c9f0de73233eaea605e7e09faf1ab66d28155d3,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz /var/tmp/dracut.A36brR/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-08 12:58:51.790280+00:00,-0.06117200366652742
,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.Tjhy5f/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m =drivers/hid =drivers/tty/serial =drivers/input/serio =drivers/input/keyboard =drivers/pci/host =drivers/pci/controller =drivers/pinctrl =drivers/usb/typec =drivers/watchdog,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-cypress.ko.xz /var/tmp/dracut.Tjhy5f/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-cypress.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 17:31:48.165455+00:00,-0.060713581871453925
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.H3efij/initramfs --kerneldir /lib/modules/5.14.0-427.61.1.el9_4.x86_64/ -o -m xfs vfat LVM2_member xfs xfs,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.61.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz /var/tmp/dracut.H3efij/initramfs/lib/modules/5.14.0-427.61.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 17:34:16.676099+00:00,-0.05759459420840762
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.QQJNMc/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m xfs vfat LVM2_member xfs xfs,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz /var/tmp/dracut.QQJNMc/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 17:33:37.511441+00:00,-0.057433820978974426
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.QQJNMc/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m =drivers/hid =drivers/tty/serial =drivers/input/serio =drivers/input/keyboard =drivers/pci/host =drivers/pci/controller =drivers/pinctrl =drivers/usb/typec =drivers/watchdog,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-tmff.ko.xz /var/tmp/dracut.QQJNMc/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-tmff.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 17:33:36.222889+00:00,-0.05674755090624162
,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.Tjhy5f/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m =drivers/hid =drivers/tty/serial =drivers/input/serio =drivers/input/keyboard =drivers/pci/host =drivers/pci/controller =drivers/pinctrl =drivers/usb/typec =drivers/watchdog,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-axff.ko.xz /var/tmp/dracut.Tjhy5f/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-axff.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 17:31:48.150771+00:00,-0.054800134433492076
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.QQJNMc/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m =drivers/hid =drivers/tty/serial =drivers/input/serio =drivers/input/keyboard =drivers/pci/host =drivers/pci/controller =drivers/pinctrl =drivers/usb/typec =drivers/watchdog,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-thrustmaster.ko.xz /var/tmp/dracut.QQJNMc/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/drivers/hid/hid-thrustmaster.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 17:33:36.215186+00:00,-0.05452166411830661
root,rocky83,mariadb,root,,,,"mariadb -N -s -ur0ckyHealth -D r0ckyHealth -e ""
SELECT
  JSON_OBJECT(
    'ts', DATE_FORMAT(date, '%Y-%m-%dT%H:%i:%sZ'),
    'event', event,
    'category', category,
    'user', user,
    'group', groupname,
    'patient_id', patient_id,
    'success', success,
    'comments', CASE
                  WHEN comments REGEXP '^[A-Za-z0-9+/=]+$' AND LENGTH(comments) % 4 = 0
                    THEN CONVERT(FROM_BASE64(comments) USING utf8mb4)
                  ELSE comments
                END,
    'source', log_from
  ) AS json_event
FROM log
WHERE date > '2026-02-08 21:00:00'
ORDER BY date;
""",,,,2026-02-08 21:30:01.860533+00:00,-0.05335318010559875
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.0ro8Hc/initramfs --kerneldir /lib/modules/5.14.0-427.104.1.el9_4.x86_64/ -o -m LVM2_member xfs xfs,dracut-install,f831016722ec15c19b9b43e44c9f0de73233eaea605e7e09faf1ab66d28155d3,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz /var/tmp/dracut.0ro8Hc/initramfs/lib/modules/5.14.0-427.104.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-16 19:31:36.745918+00:00,-0.05294454069110832
root,linuxpracticemal,cp,root,/usr/lib/dracut/dracut-install -D /var/tmp/dracut.FHvSfU/initramfs --kerneldir /lib/modules/5.14.0-427.61.1.el9_4.x86_64/ -o -m LVM2_member xfs xfs,dracut-install,54d5951f6d9b5c9144dbba90a0ee83ad7bff3ec05e08bbd4865229619958c87b,"cp --reflink=auto --sparse=auto --preserve=mode,xattr,timestamps,ownership -fL /lib/modules/5.14.0-427.61.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz /var/tmp/dracut.FHvSfU/initramfs/lib/modules/5.14.0-427.61.1.el9_4.x86_64//kernel/fs/xfs/xfs.ko.xz",,,4ee5f4171326a47e68fbf960b04964a8013e4260f7b8d7125c36c6db02fa71a1,2026-01-07 14:32:12.726398+00:00,-0.05290107088688878
